Region of residence,Geographic MedStat region,Number of deliveries,Number of cesarean sections,Cesarean section rate (%),Average age deliveries,Average age cesarean sections,year
BS01,Basel-City,50,16,32,32.6,33,2008
BS02,Basel-St.Alban,169,64,37.87,31,32.59,2008
BS03,Basel-Gundeldingen,226,66,29.2,30.88,30.09,2008
BS04,Basel-Tiergarten,127,49,38.58,32,31.7,2008
BS05,Basel-Burgfelden,163,57,34.97,30.54,31.47,2008
BS06,Basel-St.-Johann,213,60,28.17,30.5,31.95,2008
BS07,Basel-Kleinhüningen,306,92,30.07,30,30.5,2008
BS08,Basel-Kleinbasel,186,71,38.17,31.5,32.42,2008
BS09,Basel-Bruderholz,31,13,41.94,33.87,35.44,2008
BS10,Riehen-Bettingen,127,49,38.58,31,32.33,2008
BL01,Oberes Laufental,95,39,41.05,30.87,31.05,2008
BL02,Unteres Laufental,67,21,31.34,29.83,32.64,2008
BL03,Binningen,124,47,37.9,31.04,33.75,2008
BL04,Unteres Birsig,131,54,41.22,31.41,31.05,2008
BL05,Oberes Birsig,138,55,39.86,32.9,33.16,2008
BL06,Allschwil-Schönenbuch,180,65,36.11,30.57,31.57,2008
BL07,Birsfelden,109,41,37.61,30.09,30.5,2008
BL08,Muttenz,114,48,42.11,31.04,31.41,2008
BL09,Pratteln-Augst,156,66,42.31,31.54,30.86,2008
BL10,Münchenstein,99,30,30.3,30.75,30.8,2008
BL11,Arlesheim,62,20,32.26,31.25,33.4,2008
BL12,Oberbirstal,89,39,43.82,30.45,31.28,2008
BL13,Reinach,123,58,47.15,30.58,30.55,2008
BL14,Reigoldswilertal,50,18,36,30.94,29.45,2008
BL15,Unterergolztal,107,40,37.38,30.63,31.81,2008
BL16,Liestal,140,49,35,30,30.84,2008
BL17,Bubendorf,57,23,40.35,29.95,30.76,2008
BL18,Sissach-Lausen,97,45,46.39,29.46,30.84,2008
BL19,Oberergolz-Buus,42,12,28.57,32.07,33.22,2008
BL20,Oberhauenstein,58,26,44.83,29.74,30.79,2008
BL21,Homburgertal,42,15,35.71,31.25,31.13,2008
BL22,Diegtertal,42,20,47.62,30.75,29.33,2008
BL23,Gelterkinden-Eital,93,33,35.48,31.33,31.71,2008
SH01,Schaffhausen-Stadt,280,105,37.5,31,31.54,2008
SH02,Schaffhausen-Ost,-,-,-,-,-,2008
SH03,Neuhausen am Rheinfall,115,33,28.7,30.35,32.06,2008
SH04,Klettgau,75,28,37.33,30.18,31.93,2008
SH05,Randen,-,-,-,-,-,2008
SH06,Reiat,-,-,-,-,-,2008
SH07,Stein am Rhein,-,-,-,-,-,2008
SH08,Buchberg,-,-,-,-,-,2008
AR01,Appenzeller Mittelland,50,17,34,31.15,30.56,2008
AR02,Teufen-Gais,96,37,38.54,31.5,31.56,2008
AR03,Appenzeller Hinterland,95,33,34.74,30,29.47,2008
AR04,Herisau,143,45,31.47,30.58,30.71,2008
AR05,Appenzeller Vorderland,72,20,27.78,32.26,31.83,2008
AI01,Aeusseres Landesteil,163,66,40.49,30.5,31.21,2008
AI02,Inneres Landesteil,41,17,41.46,31.29,31,2008
SG01,St. Gallen-Stadt,500,206,41.2,32,31.17,2008
SG02,St. Gallen-Neudirf,89,38,42.7,29.95,29.59,2008
SG03,St. Gallen-Heiligkreuz Rotmonten,97,44,45.36,31.17,30.05,2008
SG04,St. Gallen-St. Georgen,26,9,34.62,31.29,32.38,2008
SG05,St. Gallen-Bruggen Winkeln,122,46,37.7,27.96,29,2008
SG06,Gaiserwald,39,11,28.21,30.63,31.88,2008
SG07,Goldach-Eggen,83,29,34.94,29,31.5,2008
SG08,Flawil-Degersheim,95,33,34.74,30.08,31.44,2008
SG09,Gossau,88,33,37.5,30.5,31.13,2008
SG10,Waldkirch,56,14,25,30,28.4,2008
SG11,Wittenbach-Muolen,90,40,44.44,30.05,31.17,2008
