
	G2_08_F Neugeborene 1500-2499 g // Nouveau­nés 1500-2499 g // Neonati 1500-2499 g
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	CasesCH	
	2008	4256	
	2009	5081	
	2010	5489	
	2011	5260	
	2012	5687	
	2013	5699	
	2014	5748	
	2015	5882	
	2016	6147	
	2017	5989	
	2018	5878	
	2019	5566	
